,NN,NN.1,NN.2,UU,UU.1,UU.2,pval.UU,padj.UU
SPU_020912,1.58805142251858,1.60622431811009,1.56664829363182,1.5882816389676,1.57835613783551,1.6408023890278,0.74598900641433,0.909361662657247
SPU_008601,0.904276167486,0.904221665177225,0.993457792399392,0.980026487241046,0.928810212436501,0.961534613040134,0.612764247833769,NA
SPU_009781,5.31321790480583,5.2462854341047,5.36608609554774,5.59835329049019,5.32176778545426,5.14492716769943,0.592402354122801,0.832712248951392
SPU_001001,6.82237999048862,6.83070314358212,6.77780041403242,7.03057884176466,7.07902721318475,7.10694436945426,0.00759259180137013,0.0582612000850997
SPU_007695,0,0,0,0,0,0,NA,NA
SPU_001000,9.87538976908469,9.86660299793594,9.74523312247605,9.92938842225595,9.99667290192994,10.0643777270695,0.027560064607194,0.143723217370681
SPU_023168,1.93054937325426,1.98158747213235,1.94258146154244,1.85740499489493,1.88585014669893,1.89954521893584,0.15994701506943,0.444299926936194
SPU_002036,-0.118425397745277,-0.11851537298477,-0.0839946900094086,-0.137441857916549,-0.114552739165766,-0.134832523524172,0.401225444268763,NA
SPU_004792,0,0,0,0,0,0,NA,NA
SPU_004791,0,0,0,0,0,0,NA,NA
SPU_005022,2.50125323851204,2.53830107592174,2.72714420006962,2.59290300649769,2.65330069047049,2.62198458577263,0.692088360687056,0.883826838069736
SPU_013788,7.25546159777208,7.05376512045132,7.19093104794262,7.1522774221733,7.25088276257046,6.98499292570629,0.756586126648043,0.914596417072118
SPU_013784,0,0,0,0,0,0,NA,NA
SPU_013783,-1.49800254946731,-1.49803497248723,-1.47106575270489,-1.49797535879197,-1.49666449284444,-1.4949267424634,0.71626857183118,NA
SPU_013782,-1.97538761524872,-1.96744075510849,-1.97561718338662,-1.97537176530616,-1.97460763754139,-1.97359467102343,0.879380974083601,NA
SPU_013781,-0.449941886416055,-0.356435147153215,-0.45019886273592,-0.449923902170307,-0.449021497726225,-0.447730436152244,0.318042873463874,NA
SPU_013779,0,0,0,0,0,0,NA,NA
SPU_013793,0,0,0,0,0,0,NA,NA
SPU_013792,0,0,0,0,0,0,NA,NA
SPU_013791,0,0,0,0,0,0,NA,NA
SPU_013790,-1.97540097074793,-1.97542001665875,-1.97563231152842,-1.96735772957108,-1.97461497033329,-1.97359418205222,0.7492332627339,NA
SPU_013789,-1.10942462477361,-1.10943633454543,-1.05833596092982,-1.10941478433785,-1.10780310287258,-1.10543591863985,0.560428912285961,NA
SPU_023183,-1.97530850416975,-1.97532654000993,-1.96792602117922,-1.97529337890764,-1.97456418808034,-1.97359753573851,0.879380974083601,NA
SPU_002032,0,0,0,0,0,0,NA,NA
